insurance,owner_type,transmission_type,resale_price_Lakh
Third Party,Second Owner,Automatic,9.04
Third Party,First Owner,Manual,8.28
Comprehensive,First Owner,Automatic,6.45
Comprehensive,First Owner,Automatic,9.25
Third Party,First Owner,Manual,6.9
Comprehensive,Second Owner,Manual,3.34
Third Party,First Owner,Manual,7.15
Third Party,Second Owner,Manual,1.95
Comprehensive,First Owner,Manual,3.54
Comprehensive,Second Owner,Automatic,21.95
Comprehensive,First Owner,Automatic,5.65
Comprehensive,Second Owner,Manual,5.89
Comprehensive,First Owner,Manual,6.56
Third Party,First Owner,Manual,4.89
Comprehensive,First Owner,Manual,1.65
Third Party,First Owner,Manual,2.5
Third Party,First Owner,Automatic,4.41
Third Party,Second Owner,Manual,6.0
Third Party,Second Owner,Automatic,26.0
Third Party,First Owner,Manual,7.45
Third Party,Second Owner,Manual,3.56
Third Party,First Owner,Manual,2.5
Comprehensive,First Owner,Automatic,11.5
Third Party,First Owner,Manual,10.9
Third Party,Second Owner,Automatic,11.0
Comprehensive,First Owner,Manual,10.9
Third Party,First Owner,Manual,8.25
Third Party,First Owner,Manual,9.35
Comprehensive,First Owner,Automatic,49.25
Third Party,Second Owner,Manual,1.0
Not Available,First Owner,Manual,3.2
Third Party,Second Owner,Manual,3.6
Comprehensive,First Owner,Manual,2.3
Comprehensive,Second Owner,Automatic,3.95
Zero Dep,First Owner,Manual,7.08
Third Party,Third Owner,Manual,1.8
Third Party,First Owner,Manual,3.1
Comprehensive,First Owner,Automatic,30.0
Third Party,First Owner,Manual,7.5
Third Party,First Owner,Manual,0.7
Comprehensive,Second Owner,Automatic,9.25
Zero Dep,First Owner,Automatic,4.97
Zero Dep,First Owner,Manual,5.97
Third Party,Second Owner,Manual,6.35
Not Available,First Owner,Manual,4.79
Third Party,Second Owner,Manual,1.51
Comprehensive,Second Owner,Manual,7.75
Third Party,Second Owner,Manual,2.95
Comprehensive,Second Owner,Automatic,11.95
Third Party,First Owner,Manual,4.0
Third Party,First Owner,Automatic,4.39
Third Party,First Owner,Manual,4.0
Third Party,First Owner,Manual,7.5
Comprehensive,First Owner,Manual,5.45
Third Party,Second Owner,Manual,2.33
Third Party,First Owner,Automatic,16.5
Third Party,First Owner,Manual,3.3
Comprehensive,Second Owner,Manual,6.7
Third Party,First Owner,Automatic,7.5
Third Party,First Owner,Manual,13.0
Third Party,First Owner,Manual,7.5
Comprehensive,First Owner,Manual,18.0
Comprehensive,First Owner,Manual,3.49
Third Party,Third Owner,Manual,2.7
Third Party,First Owner,Manual,19.95
Zero Dep,First Owner,Manual,14.25
Third Party,First Owner,Manual,6.15
Comprehensive,First Owner,Manual,3.55
Comprehensive,First Owner,Manual,4.07
Third Party,First Owner,Automatic,13.25
Third Party,First Owner,Automatic,14.9
Third Party,Second Owner,Automatic,7.12
Third Party,Second Owner,Manual,2.1
Zero Dep,First Owner,Manual,4.16
Third Party,First Owner,Manual,6.0
Comprehensive,First Owner,Manual,4.15
Third Party,Second Owner,Manual,3.95
Comprehensive,First Owner,Automatic,20.99
Third Party,First Owner,Manual,5.8
Third Party,First Owner,Manual,2.34
Third Party,First Owner,Automatic,12.5
Comprehensive,First Owner,Manual,3.13
Comprehensive,Second Owner,Manual,2.06
Third Party,First Owner,Manual,11.29
Third Party,First Owner,Manual,13.45
Third Party,Second Owner,Manual,4.92
Third Party,First Owner,Manual,6.75
Zero Dep,First Owner,Manual,5.7
Third Party,Second Owner,Manual,1.0
Third Party,First Owner,Automatic,18.5
Third Party,First Owner,Automatic,7.5
Not Available,Second Owner,Manual,1.0
Third Party,First Owner,Manual,1.3
Comprehensive,First Owner,Automatic,15.75
Third Party,Third Owner,Automatic,5.36
Third Party,First Owner,Manual,14.0
Third Party,First Owner,Manual,3.56
Third Party,Second Owner,Manual,3.95
Third Party,First Owner,Manual,8.8
Third Party,First Owner,Manual,7.0
Comprehensive,Second Owner,Manual,3.31
Comprehensive,First Owner,Manual,2.85
Comprehensive,First Owner,Manual,5.65
Third Party,First Owner,Manual,5.7
Comprehensive,First Owner,Automatic,6.04
Comprehensive,First Owner,Automatic,4.5
Third Party,First Owner,Automatic,13.5
Third Party,Third Owner,Manual,3.5
Third Party,Third Owner,Manual,1.5
Third Party,Second Owner,Manual,6.31
Third Party,Second Owner,Manual,3.7
Third Party,First Owner,Manual,11.0
Comprehensive,First Owner,Manual,3.27
Third Party,First Owner,Automatic,16.06
Third Party,First Owner,Manual,4.99
Third Party,Second Owner,Manual,1.75
Comprehensive,First Owner,Automatic,12.2
Third Party,First Owner,Manual,3.83
Comprehensive,First Owner,Manual,5.31
Comprehensive,First Owner,Manual,7.35
Comprehensive,First Owner,Manual,4.5
Third Party,First Owner,Manual,7.65
Comprehensive,First Owner,Automatic,20.0
Comprehensive,First Owner,Automatic,10.75
Third Party,Second Owner,Manual,1.25
Third Party,Third Owner,Manual,3.2
Third Party,Second Owner,Manual,0.9
Third Party,First Owner,Manual,4.0
Third Party,Second Owner,Manual,2.39
Third Party,First Owner,Automatic,11.0
Comprehensive,Second Owner,Manual,4.0
Third Party,First Owner,Manual,3.4
Third Party,First Owner,Manual,1.51
Comprehensive,First Owner,Automatic,29.95
Zero Dep,First Owner,Manual,4.08
Third Party,First Owner,Manual,6.9
Third Party,Second Owner,Manual,7.5
Comprehensive,Second Owner,Automatic,5.85
Not Available,Third Owner,Manual,2.7
Comprehensive,First Owner,Automatic,36.75
Third Party,First Owner,Automatic,45.5
Third Party,First Owner,Manual,8.35
Comprehensive,Second Owner,Automatic,9.45
Third Party,Second Owner,Manual,2.0
Third Party,First Owner,Automatic,20.0
Comprehensive,First Owner,Manual,5.65
Third Party,Second Owner,Automatic,19.25
Third Party,Third Owner,Manual,1.95
Comprehensive,First Owner,Manual,7.4
Third Party,First Owner,Manual,9.45
Comprehensive,Second Owner,Automatic,14.5
Comprehensive,First Owner,Automatic,24.9
Comprehensive,First Owner,Automatic,5.5
Third Party,First Owner,Manual,6.3
Comprehensive,Second Owner,Automatic,7.77
Third Party,Second Owner,Manual,3.53
Third Party,First Owner,Automatic,16.25
Comprehensive,First Owner,Manual,4.0
Comprehensive,Second Owner,Automatic,4.94
Third Party,First Owner,Manual,7.2
Comprehensive,First Owner,Manual,4.5
Not Available,First Owner,Automatic,6.25
Third Party,First Owner,Manual,20.5
Zero Dep,First Owner,Manual,7.1
Third Party,Second Owner,Manual,6.0
Comprehensive,First Owner,Automatic,9.67
Third Party,Second Owner,Manual,0.75
Comprehensive,First Owner,Manual,3.3
Third Party,First Owner,Manual,10.5
Comprehensive,First Owner,Automatic,6.92
Third Party,First Owner,Manual,2.59
Third Party,First Owner,Automatic,10.95
Comprehensive,First Owner,Manual,3.76
Not Available,First Owner,Automatic,8.0
Comprehensive,Second Owner,Manual,4.55
Comprehensive,First Owner,Manual,5.61
Third Party,First Owner,Automatic,8.38
Third Party,First Owner,Manual,9.95
Comprehensive,Second Owner,Automatic,4.5
Zero Dep,First Owner,Manual,7.99
Comprehensive,First Owner,Automatic,21.9
Third Party,First Owner,Automatic,8.77
Comprehensive,First Owner,Manual,9.07
Third Party,First Owner,Manual,5.7
Third Party,Second Owner,Manual,8.56
Third Party,Second Owner,Manual,3.5
Third Party,Second Owner,Manual,5.45
Third Party,First Owner,Automatic,9.25
Third Party,First Owner,Manual,10.0
Third Party,First Owner,Manual,8.8
Third Party,Second Owner,Manual,4.13
Third Party,First Owner,Automatic,7.62
Third Party,Second Owner,Automatic,4.39
Comprehensive,Second Owner,Manual,4.56
Comprehensive,First Owner,Manual,2.7
Comprehensive,First Owner,Manual,3.95
Comprehensive,First Owner,Manual,6.09
Third Party,First Owner,Manual,6.41
Comprehensive,First Owner,Manual,4.55
Not Available,First Owner,Manual,8.0
Comprehensive,First Owner,Automatic,12.9
Third Party,First Owner,Automatic,20.0
Third Party,First Owner,Manual,8.0
Third Party,First Owner,Manual,4.0
Third Party,First Owner,Manual,8.38
Third Party,Third Owner,Manual,3.6
Comprehensive,First Owner,Automatic,10.98
Not Available,Second Owner,Manual,2.0
Third Party,First Owner,Automatic,6.25
Comprehensive,Second Owner,Manual,4.79
Third Party,Second Owner,Manual,1.86
Third Party,First Owner,Manual,2.33
Not Available,First Owner,Automatic,7.31
Third Party,First Owner,Manual,14.49
Comprehensive,First Owner,Manual,3.35
Third Party,First Owner,Manual,3.24
Comprehensive,First Owner,Manual,7.6
Comprehensive,First Owner,Manual,6.26
Comprehensive,First Owner,Manual,3.36
Third Party,First Owner,Automatic,14.25
Comprehensive,First Owner,Manual,1.75
Third Party,Second Owner,Automatic,25.0
Third Party,Second Owner,Manual,2.1
Third Party,First Owner,Automatic,3.95
Zero Dep,First Owner,Manual,8.09
Third Party,First Owner,Manual,7.18
Comprehensive,Second Owner,Automatic,22.5
Third Party,First Owner,Automatic,7.41
Third Party,First Owner,Automatic,4.5
Zero Dep,First Owner,Automatic,9.1
Third Party,First Owner,Manual,2.29
Third Party,First Owner,Automatic,13.75
Comprehensive,Second Owner,Manual,4.25
Comprehensive,First Owner,Manual,7.95
Comprehensive,First Owner,Manual,9.17
Third Party,First Owner,Manual,5.4
Third Party,First Owner,Automatic,20.0
Third Party,First Owner,Manual,4.1
Third Party,Third Owner,Manual,1.45
Third Party,First Owner,Manual,2.25
Comprehensive,First Owner,Manual,12.5
Comprehensive,First Owner,Automatic,5.3
Third Party,First Owner,Automatic,7.31
Third Party,First Owner,Manual,9.34
Not Available,Second Owner,Manual,1.42
Comprehensive,First Owner,Manual,3.52
Third Party,First Owner,Manual,0.75
Third Party,Second Owner,Manual,3.85
Third Party,Third Owner,Manual,6.0
Third Party,First Owner,Manual,6.79
Comprehensive,First Owner,Automatic,62.5
Comprehensive,First Owner,Manual,16.7
Third Party,First Owner,Manual,8.91
Comprehensive,First Owner,Automatic,22.9
Comprehensive,First Owner,Manual,18.75
Third Party,Second Owner,Manual,4.66
Comprehensive,First Owner,Automatic,49.5
Comprehensive,First Owner,Manual,3.77
Third Party,First Owner,Manual,2.8
Comprehensive,First Owner,Automatic,23.5
Comprehensive,First Owner,Manual,6.2
Comprehensive,First Owner,Manual,2.41
Third Party,First Owner,Automatic,22.5
Third Party,Second Owner,Automatic,12.0
Comprehensive,First Owner,Manual,6.98
Comprehensive,First Owner,Automatic,9.78
Comprehensive,First Owner,Manual,4.14
Zero Dep,First Owner,Manual,3.43
Third Party,Second Owner,Automatic,25.0
Third Party,Third Owner,Manual,2.31
Third Party,Second Owner,Manual,3.85
Comprehensive,First Owner,Automatic,23.5
Comprehensive,First Owner,Manual,4.85
Third Party,First Owner,Manual,1.85
Third Party,First Owner,Manual,3.5
Third Party,First Owner,Manual,9.0
Third Party,First Owner,Manual,2.9
Comprehensive,First Owner,Manual,2.85
Third Party,Second Owner,Manual,3.3
Not Available,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,4.28
Third Party,First Owner,Manual,3.71
Third Party,Second Owner,Manual,3.5
Third Party,First Owner,Manual,11.1
Third Party,First Owner,Manual,6.95
Third Party,First Owner,Automatic,6.1
Comprehensive,First Owner,Automatic,26.89
Third Party,First Owner,Manual,3.16
Third Party,First Owner,Manual,8.5
Comprehensive,First Owner,Automatic,15.5
Comprehensive,First Owner,Automatic,3.73
Comprehensive,Third Owner,Automatic,65.75
Zero Dep,First Owner,Manual,8.11
Third Party,First Owner,Automatic,7.9
Comprehensive,Second Owner,Manual,6.24
Third Party,First Owner,Manual,1.15
Comprehensive,Second Owner,Manual,6.34
Comprehensive,First Owner,Automatic,9.25
Third Party,Second Owner,Manual,7.85
Third Party,Second Owner,Manual,1.9
Comprehensive,First Owner,Automatic,36.9
Comprehensive,First Owner,Automatic,25.25
Comprehensive,First Owner,Manual,1.97
Third Party,First Owner,Manual,4.0
Comprehensive,First Owner,Manual,1.85
Comprehensive,First Owner,Manual,4.4
Third Party,Third Owner,Manual,1.99
Comprehensive,First Owner,Manual,5.2
Comprehensive,First Owner,Manual,4.07
Comprehensive,First Owner,Manual,4.1
Zero Dep,First Owner,Manual,7.68
Third Party,Second Owner,Manual,9.3
Third Party,First Owner,Automatic,6.51
Comprehensive,First Owner,Automatic,14.5
Third Party,Second Owner,Manual,3.0
Third Party,Third Owner,Manual,2.69
Third Party,First Owner,Manual,0.8
Comprehensive,Second Owner,Manual,1.7
Third Party,First Owner,Manual,2.7
Third Party,Second Owner,Manual,1.95
Third Party,First Owner,Manual,4.3
Comprehensive,First Owner,Manual,3.03
Third Party,First Owner,Automatic,8.0
Third Party,Second Owner,Manual,3.51
Comprehensive,Second Owner,Manual,3.11
Third Party,Third Owner,Manual,5.0
Third Party,Second Owner,Automatic,13.0
Comprehensive,Third Owner,Manual,4.0
Comprehensive,First Owner,Manual,3.9
Third Party,First Owner,Manual,3.57
Third Party,Second Owner,Manual,1.69
Not Available,First Owner,Manual,7.5
Comprehensive,First Owner,Manual,8.95
Comprehensive,First Owner,Manual,8.8
Comprehensive,First Owner,Manual,6.45
Comprehensive,First Owner,Manual,5.5
Comprehensive,First Owner,Manual,4.69
Comprehensive,First Owner,Automatic,19.0
Third Party,First Owner,Manual,6.72
Comprehensive,Second Owner,Automatic,6.22
Third Party,Second Owner,Manual,3.15
Comprehensive,Second Owner,Manual,6.45
Third Party,First Owner,Manual,10.2
Comprehensive,First Owner,Manual,6.1
Third Party,First Owner,Manual,1.8
Third Party,First Owner,Manual,6.73
Third Party,Second Owner,Manual,10.3
Third Party,Second Owner,Manual,3.2
Comprehensive,First Owner,Manual,6.03
Third Party,Second Owner,Manual,3.7
Third Party,Second Owner,Manual,16.0
Zero Dep,First Owner,Automatic,8.22
Third Party,Fourth Owner,Manual,1.65
Comprehensive,Second Owner,Manual,6.9
Comprehensive,First Owner,Manual,5.0
Comprehensive,First Owner,Automatic,16.75
Comprehensive,Second Owner,Automatic,18.9
Comprehensive,First Owner,Manual,9.02
Comprehensive,First Owner,Manual,5.65
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Automatic,8.5
Third Party,First Owner,Automatic,19.65
Third Party,First Owner,Manual,3.2
Comprehensive,First Owner,Manual,3.95
Third Party,First Owner,Manual,6.3
Third Party,First Owner,Manual,4.2
Third Party,First Owner,Manual,8.5
Comprehensive,First Owner,Manual,4.73
Comprehensive,First Owner,Manual,11.95
Third Party,First Owner,Manual,7.95
Third Party,First Owner,Manual,5.75
Third Party,Second Owner,Automatic,6.11
Third Party,First Owner,Manual,9.0
Third Party,First Owner,Automatic,13.85
Zero Dep,First Owner,Manual,11.01
Comprehensive,First Owner,Manual,16.21
Comprehensive,First Owner,Automatic,16.5
Third Party,Second Owner,Manual,9.07
Third Party,First Owner,Automatic,6.0
Third Party,First Owner,Manual,4.5
Third Party,Second Owner,Manual,2.32
Third Party,First Owner,Manual,2.94
Not Available,Second Owner,Manual,2.08
Third Party,Second Owner,Manual,1.54
Third Party,First Owner,Manual,5.68
Third Party,First Owner,Manual,7.36
Not Available,First Owner,Automatic,18.5
Comprehensive,Second Owner,Automatic,29.0
Third Party,Second Owner,Automatic,7.1
Comprehensive,First Owner,Manual,2.56
Comprehensive,First Owner,Automatic,4.18
Comprehensive,First Owner,Manual,9.0
Comprehensive,First Owner,Automatic,6.75
Comprehensive,First Owner,Manual,7.25
Third Party,First Owner,Automatic,9.28
Third Party,Second Owner,Manual,2.5
Third Party,First Owner,Manual,19.22
Third Party,First Owner,Manual,5.79
Comprehensive,First Owner,Automatic,48.99
Third Party,First Owner,Manual,7.0
Third Party,Second Owner,Manual,0.9
Third Party,First Owner,Manual,5.12
Zero Dep,Second Owner,Automatic,7.29
Third Party,Second Owner,Automatic,4.5
Third Party,Second Owner,Manual,1.25
Comprehensive,First Owner,Automatic,21.0
Comprehensive,First Owner,Manual,8.25
Not Available,Second Owner,Manual,3.75
Third Party,First Owner,Automatic,6.2
Third Party,First Owner,Manual,7.25
Comprehensive,First Owner,Automatic,6.78
Comprehensive,Third Owner,Manual,2.75
Zero Dep,Second Owner,Manual,5.88
Third Party,First Owner,Manual,6.49
Third Party,Second Owner,Manual,4.5
Third Party,Second Owner,Automatic,8.5
Comprehensive,First Owner,Manual,8.17
Third Party,First Owner,Manual,4.74
Comprehensive,First Owner,Automatic,16.5
Third Party,First Owner,Automatic,9.06
Third Party,Second Owner,Manual,6.6
Zero Dep,First Owner,Automatic,7.47
Comprehensive,First Owner,Automatic,28.75
Comprehensive,First Owner,Manual,12.18
Third Party,Second Owner,Manual,2.8
Zero Dep,Second Owner,Automatic,7.05
Third Party,First Owner,Manual,1.1
Comprehensive,First Owner,Automatic,9.71
Third Party,First Owner,Automatic,18.75
Comprehensive,First Owner,Manual,4.11
Third Party,First Owner,Manual,7.3
Comprehensive,First Owner,Manual,5.39
Third Party,First Owner,Automatic,13.35
Zero Dep,First Owner,Automatic,7.05
Comprehensive,First Owner,Manual,10.5
Third Party,Second Owner,Automatic,5.22
Third Party,Third Owner,Manual,0.65
Third Party,Second Owner,Manual,4.6
Comprehensive,First Owner,Manual,7.1
Third Party,First Owner,Manual,5.93
Comprehensive,Second Owner,Manual,2.75
Comprehensive,First Owner,Automatic,18.6
Third Party,First Owner,Manual,8.8
Third Party,First Owner,Manual,6.1
Comprehensive,First Owner,Manual,4.5
Third Party,First Owner,Manual,4.41
Third Party,First Owner,Manual,10.0
Zero Dep,First Owner,Manual,2.83
Third Party,First Owner,Automatic,5.16
Third Party,First Owner,Manual,4.78
Third Party,Second Owner,Manual,2.06
Comprehensive,First Owner,Manual,1.99
Not Available,First Owner,Manual,4.09
Third Party,First Owner,Manual,4.0
Comprehensive,First Owner,Automatic,34.95
Third Party,First Owner,Automatic,6.92
Third Party,Second Owner,Manual,6.4
Third Party,Second Owner,Manual,2.37
Comprehensive,First Owner,Automatic,12.75
Third Party,Second Owner,Automatic,3.4
Third Party,First Owner,Automatic,7.5
Third Party,First Owner,Manual,2.25
Third Party,First Owner,Automatic,23.25
Third Party,First Owner,Manual,8.5
Third Party,Third Owner,Manual,19.5
Third Party,Second Owner,Manual,9.0
Comprehensive,First Owner,Manual,6.5
Comprehensive,First Owner,Automatic,7.0
Third Party,First Owner,Manual,10.94
Third Party,First Owner,Manual,7.72
Not Available,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,2.73
Comprehensive,First Owner,Manual,8.45
Zero Dep,First Owner,Manual,7.3
Third Party,First Owner,Manual,6.91
Comprehensive,First Owner,Manual,8.49
Not Available,Second Owner,Manual,2.44
Comprehensive,First Owner,Manual,9.2
Comprehensive,Second Owner,Manual,5.58
Comprehensive,First Owner,Manual,4.2
Third Party,Second Owner,Manual,6.9
Comprehensive,First Owner,Automatic,16.04
Comprehensive,First Owner,Manual,6.35
Comprehensive,Second Owner,Manual,3.0
Third Party,Fourth Owner,Manual,1.5
Third Party,Second Owner,Manual,3.6
Comprehensive,Second Owner,Manual,5.2
Third Party,Second Owner,Manual,1.5
Comprehensive,First Owner,Manual,3.65
Third Party,Second Owner,Manual,0.9
Third Party,Third Owner,Automatic,9.0
Third Party,First Owner,Automatic,15.25
Third Party,First Owner,Manual,10.95
Comprehensive,First Owner,Manual,6.99
Third Party,Second Owner,Automatic,5.55
Comprehensive,First Owner,Manual,4.75
Third Party,Second Owner,Manual,2.5
Comprehensive,First Owner,Manual,8.25
Third Party,Second Owner,Automatic,4.0
Comprehensive,First Owner,Manual,2.65
Third Party,Second Owner,Manual,1.5
Third Party,Second Owner,Manual,10.2
Third Party,First Owner,Manual,1.35
Comprehensive,First Owner,Manual,3.86
Comprehensive,First Owner,Manual,12.75
Third Party,First Owner,Manual,5.75
Comprehensive,First Owner,Manual,4.37
Third Party,First Owner,Manual,5.15
Third Party,First Owner,Automatic,17.68
Third Party,Second Owner,Manual,3.21
Zero Dep,First Owner,Automatic,27.8
Third Party,First Owner,Manual,5.75
Zero Dep,First Owner,Manual,5.7
Third Party,First Owner,Automatic,5.85
Comprehensive,First Owner,Manual,9.0
Third Party,Second Owner,Manual,5.01
Third Party,Second Owner,Manual,2.5
Third Party,First Owner,Automatic,59.5
Third Party,First Owner,Manual,3.1
Third Party,Second Owner,Manual,4.75
Comprehensive,First Owner,Automatic,7.75
Third Party,Second Owner,Automatic,5.43
Third Party,Third Owner,Manual,1.85
Third Party,Second Owner,Manual,2.0
Not Available,First Owner,Manual,2.0
Third Party,First Owner,Automatic,12.5
Comprehensive,First Owner,Manual,3.0
Third Party,Second Owner,Manual,1.82
Comprehensive,First Owner,Manual,8.55
Not Available,Second Owner,Manual,0.88789
Not Available,Second Owner,Manual,3.46
Third Party,First Owner,Manual,5.0
Third Party,Second Owner,Manual,1.7
Zero Dep,First Owner,Manual,12.64
Third Party,First Owner,Automatic,9.5
Zero Dep,First Owner,Manual,8.38
Third Party,Second Owner,Manual,9.5
Third Party,Second Owner,Automatic,10.25
Third Party,Second Owner,Automatic,9.18
Third Party,First Owner,Manual,2.5
Third Party,First Owner,Manual,7.87
Third Party,First Owner,Manual,2.0
Comprehensive,First Owner,Manual,3.95
Comprehensive,First Owner,Manual,6.75
Third Party,First Owner,Manual,2.94
Comprehensive,First Owner,Automatic,4.11
Third Party,First Owner,Manual,4.73
Third Party,Second Owner,Manual,2.45
Third Party,Second Owner,Manual,3.8
Comprehensive,First Owner,Automatic,7.0
Third Party,Second Owner,Manual,4.77
Comprehensive,First Owner,Automatic,6.75
Third Party,First Owner,Manual,5.39
Third Party,Second Owner,Manual,18.85
Third Party,Second Owner,Manual,5.0
Comprehensive,First Owner,Manual,3.38
Zero Dep,First Owner,Automatic,4.36
Comprehensive,First Owner,Manual,14.25
Third Party,Third Owner,Manual,0.76479
Third Party,Second Owner,Manual,2.95
Third Party,Third Owner,Manual,3.39
Comprehensive,Third Owner,Manual,4.65
Third Party,First Owner,Manual,8.17
Third Party,First Owner,Manual,2.0
Comprehensive,First Owner,Manual,5.49
Not Available,First Owner,Manual,17.0
Comprehensive,First Owner,Manual,4.95
Comprehensive,First Owner,Manual,9.51
Comprehensive,First Owner,Manual,1.9
Zero Dep,First Owner,Automatic,16.99
Third Party,First Owner,Manual,7.5
Comprehensive,First Owner,Manual,4.05
Third Party,First Owner,Manual,11.75
Third Party,First Owner,Manual,2.22
Third Party,First Owner,Manual,8.5
Third Party,First Owner,Manual,4.25
Third Party,First Owner,Automatic,5.95
Third Party,Second Owner,Manual,5.73
Comprehensive,First Owner,Manual,5.2
Comprehensive,Second Owner,Automatic,4.95
Third Party,First Owner,Automatic,41.25
Comprehensive,First Owner,Automatic,34.0
Zero Dep,First Owner,Manual,4.4
Comprehensive,First Owner,Automatic,7.43
Comprehensive,Third Owner,Automatic,2.85
Third Party,First Owner,Manual,3.5
Comprehensive,First Owner,Manual,4.24
Comprehensive,First Owner,Manual,1.85
Not Available,Second Owner,Manual,0.98657
Third Party,First Owner,Manual,2.2
Third Party,Second Owner,Manual,2.5
Comprehensive,Second Owner,Automatic,14.9
Third Party,Third Owner,Manual,1.8
Comprehensive,Second Owner,Manual,2.55
Third Party,Second Owner,Automatic,7.58
Third Party,First Owner,Manual,7.75
Third Party,Second Owner,Manual,4.75
Third Party,First Owner,Manual,7.4
Third Party,Second Owner,Automatic,29.75
Third Party,First Owner,Manual,3.75
Third Party,First Owner,Automatic,68.0
Third Party,First Owner,Manual,2.0
Zero Dep,Third Owner,Automatic,8.37
Third Party,Second Owner,Manual,3.44
Comprehensive,First Owner,Automatic,36.75
Comprehensive,First Owner,Automatic,2.84
Comprehensive,First Owner,Manual,17.25
Third Party,Third Owner,Manual,3.6
Comprehensive,Second Owner,Manual,1.7
Third Party,First Owner,Automatic,21.0
Comprehensive,First Owner,Manual,3.5
Third Party,First Owner,Manual,6.5
Comprehensive,First Owner,Manual,8.65
Third Party,First Owner,Automatic,7.5
Third Party,Second Owner,Manual,1.4
Third Party,Second Owner,Manual,1.4
Third Party,Second Owner,Manual,2.7
Third Party,First Owner,Manual,3.65
Third Party,First Owner,Manual,4.85
Third Party,Second Owner,Manual,3.0
Third Party,First Owner,Manual,10.0
Third Party,Second Owner,Manual,2.5
Comprehensive,First Owner,Manual,4.93
Third Party,Second Owner,Automatic,6.25
Comprehensive,First Owner,Automatic,15.75
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,5.89
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,1.85
Comprehensive,First Owner,Manual,5.99
Zero Dep,Second Owner,Manual,12.93
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,8.5
Comprehensive,First Owner,Manual,9.99
Comprehensive,First Owner,Manual,3.19
Third Party,Third Owner,Manual,4.6
Third Party,First Owner,Manual,6.2
Third Party,Second Owner,Manual,4.92
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,4.5
Third Party,First Owner,Manual,7.6
Third Party,First Owner,Automatic,13.5
Third Party,First Owner,Manual,3.6
Comprehensive,Second Owner,Manual,5.95
Third Party,First Owner,Manual,2.97
Zero Dep,First Owner,Automatic,6.55
Third Party,First Owner,Manual,7.25
Comprehensive,First Owner,Manual,5.95
Third Party,Second Owner,Manual,0.8
Third Party,First Owner,Manual,3.5
Comprehensive,Second Owner,Manual,3.6
Third Party,First Owner,Automatic,4.98
Comprehensive,Second Owner,Manual,5.5
Third Party,Second Owner,Manual,7.39
Comprehensive,First Owner,Manual,4.1
Third Party,First Owner,Manual,2.0
Third Party,First Owner,Automatic,16.25
Third Party,First Owner,Automatic,15.0
Third Party,Second Owner,Manual,4.5
Third Party,First Owner,Automatic,130.0
Comprehensive,First Owner,Automatic,110.0
Third Party,First Owner,Manual,5.0
Third Party,Second Owner,Manual,2.5
Third Party,First Owner,Manual,6.01
Third Party,First Owner,Manual,8.75
Comprehensive,First Owner,Automatic,24.4
Comprehensive,First Owner,Manual,8.59
Third Party,First Owner,Manual,5.61
Comprehensive,Second Owner,Manual,5.08
Zero Dep,First Owner,Automatic,14.87
Comprehensive,First Owner,Manual,3.87
Third Party,Second Owner,Automatic,2.0
Third Party,Third Owner,Automatic,2.0
Third Party,Second Owner,Manual,5.0
Comprehensive,First Owner,Manual,4.0
Comprehensive,First Owner,Manual,6.25
Third Party,First Owner,Manual,6.95
Third Party,First Owner,Manual,5.25
Third Party,Second Owner,Manual,1.5
Third Party,First Owner,Manual,1.2
Third Party,First Owner,Automatic,46.0
Comprehensive,First Owner,Manual,4.7
Comprehensive,First Owner,Manual,6.4
Third Party,First Owner,Manual,12.75
Third Party,Second Owner,Manual,3.5
Comprehensive,Second Owner,Manual,6.92
Comprehensive,First Owner,Automatic,11.75
Comprehensive,First Owner,Automatic,3.85
Comprehensive,Second Owner,Manual,1.67
Third Party,First Owner,Manual,6.65
Comprehensive,Second Owner,Manual,5.5
Third Party,First Owner,Automatic,7.0
Not Available,First Owner,Manual,8.5
Third Party,Second Owner,Manual,6.5
Third Party,First Owner,Automatic,17.95
Third Party,First Owner,Manual,19.0
Comprehensive,Third Owner,Manual,6.0
Third Party,First Owner,Manual,6.95
Third Party,First Owner,Manual,2.1
Third Party,First Owner,Automatic,10.19
Third Party,First Owner,Manual,28.5
Comprehensive,First Owner,Manual,5.0
Not Available,Second Owner,Manual,1.16
Third Party,First Owner,Manual,9.5
Third Party,First Owner,Manual,2.43
Third Party,First Owner,Manual,4.35
Third Party,First Owner,Manual,5.7
Comprehensive,Second Owner,Manual,6.95
Zero Dep,First Owner,Manual,3.88
Third Party,First Owner,Manual,1.0
Comprehensive,First Owner,Automatic,23.75
Comprehensive,Third Owner,Manual,3.16
Third Party,First Owner,Automatic,11.02
Comprehensive,First Owner,Automatic,5.25
Third Party,Second Owner,Manual,18.0
Third Party,First Owner,Automatic,13.65
Comprehensive,First Owner,Automatic,27.65
Comprehensive,First Owner,Automatic,14.85
Comprehensive,First Owner,Automatic,9.67
Third Party,Second Owner,Manual,0.8
